name,HR,HR.err,c,c.err,gmass,gmass.lowerr,gmass.uperr,lmass,lmass.lowerr,lmass.uperr,logsfr,logsfr.lowerr,logsfr.uperr,lssfr,lssfr.lowerr,lssfr.uperr,phmass,pyoung,x1,x1.err,zcmb,global_g,global_g.lowerr,global_g.uperr,global_i,global_i.lowerr,global_i.uperr,host_dec,host_ra,local_g,local_g.lowerr,local_g.uperr,local_i,local_i.lowerr,local_i.uperr,dec,ra
SN2005hc,0.12,0.13,-0.05,0.03,10.72,-0.1,0.1,8.28,-0.11,0.11,-2.87,-0.05,0.05,-11.1,-0.1,0.1,100.0,0.0,0.89,0.28,0.0453,15.76,-0.01,0.01,14.63,-0.01,0.01,-0.2126,29.2021,21.46,-0.04,0.05,20.48,-0.04,0.04,-0.2137,29.1998
SN2005hj,-0.14,0.13,0.06,0.03,9.6,-0.1,0.1,8.47,-0.11,0.1,-2.06,-0.01,0.01,-10.5,-0.1,0.1,0.0,99.0,1.96,0.49,0.0563,18.8,-0.02,0.02,17.76,-0.01,0.01,-1.2381,21.7019,21.46,-0.04,0.05,20.48,-0.03,0.04,-1.238,21.7011
SN2005ir,-0.09,0.14,0.04,0.04,10.28,-0.1,0.1,8.41,-0.11,0.1,-1.75,-0.01,0.01,-10.2,-0.1,0.1,99.0,100.0,1.66,0.68,0.0752,17.33,-0.01,0.01,16.45,-0.01,0.01,0.7936,19.1828,21.33,-0.03,0.03,20.7,-0.04,0.04,0.7946,19.1823
SN2006cj,-0.03,0.12,-0.03,0.03,10.66,-0.1,0.1,8.05,-0.12,0.12,-2.9,-0.05,0.04,-11.0,-0.1,0.1,100.0,14.0,0.48,0.18,0.0683,17.04,-0.01,0.01,15.84,-0.01,0.01,28.3472,194.8505,22.2,-0.05,0.05,21.5,-0.07,0.07,28.3477,194.8518
SN2006dm,0.11,0.16,-0.02,0.03,11.15,-0.1,0.1,8.18,-0.11,0.11,-4.08,-0.37,0.23,-12.3,-0.4,0.3,100.0,0.0,-1.86,0.29,0.0208,14.53,-0.01,0.01,12.83,-0.01,0.01,-3.6673,355.4472,20.45,-0.04,0.05,19.3,-0.03,0.03,-3.669,355.4493
SN2006do,-0.12,0.15,-0.04,0.03,10.79,-0.1,0.1,9.1,-0.1,0.1,-4.39,-0.63,0.38,-13.5,-0.7,0.4,100.0,0.0,-2.53,0.45,0.0274,14.25,-0.01,0.01,13.2,-0.01,0.01,-27.7261,353.0141,18.92,-0.01,0.01,17.71,-0.01,0.01,-27.7255,353.0128
SN2006ob,-0.15,0.13,-0.02,0.03,11.38,-0.1,0.1,8.83,-0.11,0.11,-3.93,-0.45,0.27,-12.8,-0.5,0.3,100.0,0.0,-2.57,0.24,0.0582,15.1,-0.01,0.01,13.82,-0.01,0.01,0.2638,27.9521,21.28,-0.03,0.03,20.06,-0.03,0.03,0.2634,27.9505
SN2007bc,-0.11,0.15,-0.02,0.03,10.96,-0.1,0.1,7.74,-0.12,0.12,-5.62,-1.24,1.04,-13.4,-1.2,1.0,100.0,0.0,-0.81,0.24,0.0219,13.77,-0.01,0.01,12.56,-0.01,0.01,20.8135,169.8192,21.17,-0.07,0.08,20.19,-0.06,0.06,20.809,169.8107
SN2007bd,0.04,0.14,-0.07,0.03,10.98,-0.1,0.1,8.65,-0.1,0.1,-2.25,-0.01,0.01,-10.9,-0.1,0.1,100.0,20.0,-0.52,0.35,0.0314,14.48,-0.01,0.01,13.29,-0.01,0.01,-1.1978,127.887,19.74,-0.02,0.02,18.74,-0.01,0.01,-1.1994,127.8887
SN2007cq,-0.17,0.14,-0.08,0.03,9.74,-0.1,0.1,8.02,-0.1,0.1,-2.79,-0.03,0.03,-10.8,-0.1,0.1,0.0,52.0,-0.4,0.15,0.0248,15.75,-0.01,0.01,15.03,-0.01,0.01,5.0786,333.6696,19.71,-0.02,0.02,19.11,-0.03,0.03,5.0803,333.6685
SN2007kk,-0.15,0.12,-0.04,0.03,11.32,-0.1,0.1,8.35,-0.11,0.11,-3.09,-0.05,0.05,-11.4,-0.1,0.1,100.0,0.0,0.54,0.15,0.0407,13.77,-0.01,0.01,12.73,-0.01,0.01,39.2445,55.6002,20.76,-0.04,0.04,19.88,-0.03,0.03,39.2418,55.5969
SN2007nq,-0.18,0.13,-0.02,0.03,11.51,-0.1,0.1,7.99,-0.14,0.14,-3.27,-0.09,0.07,-11.3,-0.2,0.2,100.0,0.0,-1.98,0.22,0.0439,14.0,-0.01,0.01,12.77,-0.01,0.01,-1.391,14.3954,22.4,-0.1,0.11,21.3,-0.09,0.1,-1.3886,14.3899
SN2009hi,-0.05,0.13,0.15,0.03,11.73,-0.1,0.1,8.39,-0.11,0.11,-4.13,-0.79,0.49,-12.5,-0.8,0.5,100.0,0.0,-2.3,0.09,0.0399,13.45,-0.01,0.01,12.14,-0.01,0.01,16.7772,350.9893,21.58,-0.06,0.06,20.34,-0.04,0.04,16.7749,350.9844
SN2010dt,0.04,0.12,-0.07,0.03,10.59,-0.1,0.1,7.37,-0.2,0.2,-3.37,-0.08,0.07,-10.7,-0.2,0.2,100.0,64.0,-0.03,0.09,0.0529,15.75,-0.01,0.01,14.89,-0.01,0.01,32.6779,250.8051,23.26,-0.16,0.17,22.65,-0.23,0.27,32.6751,250.8111
SN2010ex,0.27,0.15,-0.07,0.03,9.72,-0.1,0.1,7.84,-0.11,0.1,-2.52,-0.01,0.01,-10.4,-0.1,0.1,0.0,100.0,0.38,0.12,0.0216,15.29,-0.01,0.01,14.65,-0.01,0.01,26.0965,345.045,20.02,-0.02,0.02,19.37,-0.03,0.03,26.0992,345.0454
SN2011bc,-0.03,0.15,0.1,0.03,10.86,-0.1,0.1,8.77,-0.1,0.1,-2.35,-0.01,0.01,-11.1,-0.1,0.1,100.0,0.0,0.05,0.1,0.0218,13.72,-0.01,0.01,12.62,-0.01,0.01,20.2049,181.1355,18.46,-0.01,0.01,17.53,-0.01,0.01,20.2032,181.1372
SN2011be,0.13,0.13,-0.09,0.03,11.18,-0.1,0.1,7.85,-0.1,0.11,-2.55,-0.01,0.01,-10.4,-0.1,0.1,100.0,100.0,0.16,0.23,0.0356,14.28,-0.01,0.01,13.07,-0.01,0.01,21.9752,140.7211,20.79,-0.03,0.03,20.25,-0.03,0.04,21.9877,140.7192
SN2011ga,-0.03,0.13,-0.06,0.03,10.61,-0.1,0.1,7.23,-0.22,0.21,-4.34,-0.93,0.46,-11.6,-0.9,0.6,100.0,5.0,-0.28,0.17,0.0381,15.4,-0.01,0.01,14.37,-0.01,0.01,3.1974,340.1193,22.87,-0.17,0.19,22.28,-0.23,0.27,3.1994,340.1143
SN2011ho,0.27,0.14,0.05,0.03,11.4,-0.1,0.1,8.67,-0.1,0.1,-4.69,-0.65,0.44,-13.4,-0.7,0.5,100.0,0.0,-1.92,0.17,0.0328,13.62,-0.01,0.01,12.39,-0.01,0.01,33.5145,176.0582,20.53,-0.03,0.03,19.27,-0.02,0.02,33.5163,176.0539
SN2011hv,-0.02,0.15,0.47,0.04,10.71,-0.1,0.1,8.51,-0.1,0.11,-2.53,-0.01,0.01,-11.0,-0.1,0.1,100.0,1.0,1.12,0.51,0.0285,14.71,-0.01,0.01,13.6,-0.01,0.01,0.2612,349.5653,19.62,-0.01,0.02,18.72,-0.01,0.01,0.262,349.569
SN2013be,-0.23,0.12,0.04,0.03,10.9,-0.1,0.1,8.08,-0.14,0.14,-4.17,-0.71,0.41,-12.3,-0.8,0.5,100.0,0.0,0.43,0.17,0.067,16.05,-0.01,0.01,14.97,-0.01,0.01,11.7593,189.1133,22.66,-0.09,0.1,21.74,-0.08,0.09,11.7578,189.1153
SN2013bs,0.03,0.14,-0.02,0.03,11.09,-0.1,0.1,6.7,-0.37,0.31,-5.22,-0.57,0.4,-11.9,-0.7,0.6,100.0,2.0,-2.18,0.21,0.0275,13.92,-0.01,0.01,12.72,-0.01,0.01,41.0527,259.3178,23.92,-0.44,0.68,23.07,-0.48,0.75,41.0667,259.3418
SN2013bt,0.05,0.13,-0.11,0.03,10.98,-0.1,0.1,6.87,-0.34,0.29,-3.92,-0.59,0.33,-10.8,-0.6,0.5,100.0,51.0,-2.12,0.14,0.0367,14.97,-0.01,0.01,13.72,-0.01,0.01,61.5793,215.3298,24.33,-0.46,0.77,23.37,-0.44,0.71,61.5711,215.313
