CID,CIDint,IDSURVEY,TYPE,FIELD,zHD,zHDERR,z,zERR,HOST_LOGMASS,HOST_LOGMASS_ERR,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DECL,TGAPMAX,MU,MUERR,MUERR_NOSIGMB,MURES,MUPULL,sbar,cbar,ERRCODE,Unnamed: 41
12869,12869,1,120,82N+82S,0.27806,1e-05,0.27953,1e-05,10.437,0.099,14.0328,11.008,9.6162,53978.855,1.2930000000000001,0.351,0.9053,-0.0490853,0.05160750000000001,21.1149156543,0.0868173,6.4276047781e-05,5.3868700000000005e-06,0.0138697,-2.16515e-06,-1.72022e-07,84,54.3164,0.9961,-32.600922,0.000987,0.000987,,40.6434,0.1736,0.1736,-0.134,-0.774,0.8390000000000001,-0.064,0
12881,12881,1,120,82N,0.2367,1e-05,0.23811,1e-05,9.679,0.113,25.8168,19.7004,12.7132,53980.316,0.59,0.8695,0.5425,0.026311900000000003,0.0385278,20.8427560093,0.048090100000000004,8.2587472302e-05,3.78374e-06,0.00439184,-1.32268e-06,-9.116389999999999e-08,32,33.2381,0.4067,10.1623,-0.073668,-0.073668,,40.2101,0.127,0.127,-0.171,-1.345,1.349,-0.003,0
12883,12883,1,120,82N,0.30569,1e-05,0.307,1e-05,11.099,0.105,11.2252,7.8924,5.9928,53980.187999999995,0.094,-2.03203,0.7825,-0.0697307,0.0690427,21.402329366300002,0.0974888,4.93232298848e-05,5.030569999999999e-06,0.0137143,-2.6558299999999996e-06,-1.59475e-07,48,31.5965,0.9675,-47.374176,0.398611,0.398611,,40.6612,0.2297,0.2297,-0.35100000000000003,-1.527,-1.354,-0.132,0
12898,12898,1,120,82N,0.08254,1e-05,0.08358,1e-05,9.953,0.045,77.5458,72.377,41.7466,54002.492,0.08199999999999999,-0.0521715,0.0860948,0.0675354,0.0214352,18.7636753626,0.03223959999999999,0.000560434609145,1.7039e-05,9.15951e-06,-2.25761e-07,-2.79689e-07,50,73.7759,0.0160088,26.793015999999998,-0.14707699999999999,-0.14707699999999999,,37.8742,0.049,0.049,-0.026000000000000002,-0.5329999999999999,-0.036000000000000004,0.057999999999999996,0
12927,12927,1,120,82N,0.18891,1e-05,0.18978,1e-05,10.401,0.06,31.9101,29.3207,18.6804,53988.855,1.15,0.09287580000000001,0.4017,-0.0326338,0.0360467,20.0638610526,0.05832919999999999,0.000169222566688,9.39987e-06,-0.00300211,1.27723e-06,-2.71111e-07,47,35.6978,0.8858,41.786049,0.775059,0.775059,,39.5052,0.0939,0.0939,-0.32299999999999995,-3.44,0.965,-0.132,0
12950,12950,1,120,82N+82S,0.08141,1e-05,0.08273,1e-05,9.787,0.04,90.4738,77.5465,72.3787,54000.059,0.069,-0.327999,0.0623971,0.00463316,0.015985,18.6539562339,0.0314066,0.000620031357682,1.81363e-05,8.65923e-06,-9.24213e-08,-2.1859999999999999e-07,97,139.9139,0.00351233,-8.332581,-0.8403200000000001,-0.8403200000000001,,37.9209,0.0347,0.0347,0.043,1.2329999999999999,-0.35200000000000004,0.019,64
12972,12972,1,120,82S,0.25655,1e-05,0.258,1e-05,9.177,0.114,20.8381,13.186,8.9641,53980.969000000005,0.9059999999999999,0.1765,0.8162,-0.0803554,0.05148730000000001,21.025347052,0.06753769999999999,6.98032326776e-05,4.438680000000001e-06,0.0212345,-2.89235e-06,-1.54157e-07,38,14.2635,0.9998,7.958508,-0.383025,-0.383025,,40.6263,0.1503,0.1503,0.048,0.316,0.027999999999999997,-0.075,0
13005,13005,1,120,82S,0.12622,1e-05,0.12728,1e-05,10.093,0.076,36.1738,30.1432,19.7023,53964.637,1.36,-0.315085,0.3203,-0.013605100000000002,0.0458501,19.620849776700002,0.1181,0.00025447665867,2.9261900000000002e-05,0.00333306,-4.03487e-06,-1.0834100000000001e-06,28,13.4082,0.994,27.395418,-0.6499590000000001,-0.6499590000000001,,38.9461,0.1052,0.1052,0.069,0.659,-0.446,-0.005,0
13038,13038,1,120,82S,0.10264000000000001,1e-05,0.104,1e-05,-9.0,-9.0,72.3736,67.8521,32.8801,53988.652,0.141,1.4355,0.1459,-0.0198616,0.0234276,18.9101848246,0.038466,0.000489712866983,1.71697e-05,0.00068541,-1.00805e-06,-3.08945e-07,49,38.6689,0.8552,-12.173278999999999,0.50451,0.50451,,38.4999,0.0541,0.0541,0.095,1.755,1.337,0.01,0
13044,13044,1,120,82S,0.12455,1e-05,0.12588,1e-05,9.913,0.062,60.312,47.1949,30.1385,54003.18,0.094,-0.015031000000000001,0.1296,-0.0686775,0.0224358,19.3038439368,0.0376349,0.000340784801879,1.18947e-05,0.000451897,-3.49453e-07,-1.9956e-07,55,66.6714,0.1345,-27.457306,0.503229,0.503229,,38.8418,0.0508,0.0508,-0.009000000000000001,-0.17800000000000002,-0.006999999999999999,-0.07200000000000001,0
